"ActivityType","StartTime","EndTime","AltitudeAvg","AltitudeMin","AltitudeMax","Ascent","Descent","Distance","Duration","HrAvg","HrMin","Calories","SpeedAvg"
"Biking",2020-06-25 11:35:59,2020-06-25 12:32:52,107.132551310699,72.1999969482422,136.399993896484,104.999977111816,134.399971008301,19130.13,3413,133.33299389002,82,571,20.1782795194843
"Biking",2020-06-25 14:57:20,2020-06-25 16:01:19,105.499234058818,79,128.399993896484,91.6000213623047,64.8000259399414,10767.65,3839,117.396061269147,75,444,10.0973013805679
"Biking",2020-06-25 16:32:56,2020-06-25 16:52:13,125.016500110626,106.400001525879,135.199996948242,42.5999908447266,43.3999862670898,7472.69,1157,141.879487179487,108,239,23.2512394122731
"Running",2020-06-26 18:04:39,2020-06-26 19:17:56,139.306125374325,132.800003051758,158.800003051758,259.000198364258,258.800186157227,10279.94,4397,138.937088348853,83,711,8.41659858994769
"Biking",2020-06-27 13:24:21,2020-06-27 13:55:20,122.649214673001,108,136.399993896484,60.7999801635742,67.599983215332,10368.98,1859,109.836363636364,74,227,20.079789133943
"Biking",2020-06-27 15:39:51,2020-06-27 16:56:45,97.8568345817731,72.1999969482422,135.199996948242,163.000007629395,154.200004577637,22604.75,4614,117.978150036417,76,546,17.6369960988296
"Other",2020-06-28 11:59:58,2020-06-28 13:03:09,127.349223102995,114,142,383.200180053711,378.200180053711,16787.96,3791,156.460363444825,104,784,15.9421408599314
"Biking",2020-07-01 15:53:44,2020-07-01 16:57:16,35.3422059215798,13.3999996185303,65,517.599988937378,522.599988937378,23961.95,3812,147.620906471051,90,712,22.629333683106
"Other",2020-07-03 09:55:34,2020-07-03 14:53:10,-5.43855421995041,-23.7999992370605,40.4000015258789,2277.39999607205,2290.79999759793,96628.17,17856,151.726478005043,83,2977,19.4814858870968
"Running",2020-07-04 10:31:09,2020-07-04 11:35:33,118.031690411968,98.4000015258789,142,267.400047302246,261.80004119873,10308.12,3864,148.694451612903,90,749,9.60383850931677
"Other",2020-07-04 11:45:53,2020-07-04 12:05:18,125.770256864108,104.199996948242,143.600006103516,0,0,614.48,1165,131.416666666667,117,139,1.89882231759657
"Other",2020-07-05 10:15:44,2020-07-05 10:59:26,55.1462962362501,30.6000003814697,76.4000015258789,198.599981307983,200.599981307983,3632.5,2622,111.344907407407,79,257,4.98741418764302
"Biking",2020-07-08 16:42:27,2020-07-08 18:19:35,107.07964359856,77.4000015258789,137.399993896484,681.600090026855,682.200096130371,39791.44,5828,145.857265250171,90,990,24.5794756348662
"Other",2020-07-09 17:13:28,2020-07-09 18:13:39,125.786618697567,112,139.399993896484,359.400039672852,357.800033569336,16874.19,3611,151.369919823058,74,726,16.8227870396012
"Running",2020-07-11 11:01:08,2020-07-11 14:39:49,68.5396144613719,43.7999992370605,88.1999969482422,75.5999908447266,75.5999908447266,21292.31,13121,100.023982869379,81,1404,5.84195686304398
"Running",2020-07-13 18:19:40,2020-07-13 19:02:55,38.1863950799741,27.7999992370605,56.7999992370605,192.600030899048,187.600030899048,10076.95,2595,143.506533435819,106,572,13.9795838150289
"Other",2020-07-14 16:36:14,2020-07-14 17:35:26,141.048229378351,127.199996948242,154.800003051758,343.599876403809,341.799873352051,16795.63,3552,159.475548060708,90,802,17.022597972973
"Biking",2020-07-15 15:06:36,2020-07-15 15:19:23,130.13057036721,121.199996948242,144.199996948242,65.2000885009766,65.0000915527344,4803.35,767,130.533678756477,76,125,22.5450586701434
"Biking",2020-07-15 15:20:03,2020-07-15 18:15:40,104.295508000054,82.5999984741211,138.199996948242,1005.00006866455,1000.20007324219,73761.97,10537,158.620293978189,98,1972,25.2010147100693
"Other",2020-07-16 16:16:19,2020-07-16 18:24:18,133.59125752247,124.199996948242,147.600006103516,58.8000564575195,58.8000564575195,12089.98,7679,105.461331540013,56,851,5.6679161349134
"Other",2020-07-17 14:26:18,2020-07-17 16:22:40,119.056779219848,91.5999984741211,144.199996948242,709.199768066406,710.399765014648,31453.07,6982,149.414441573356,82,1301,16.217566886279
"Biking",2020-07-20 15:26:51,2020-07-20 17:12:57,117.037076491783,89.1999969482422,157,596.799926757812,591.199920654297,47423.88,6366,149.636449184442,99,1151,26.8184052780396
"Other",2020-07-21 16:24:28,2020-07-21 18:12:06,133.090599773692,112.199996948242,155.199996948242,556.199890136719,554.999877929688,28337.82,6458,142.848948670377,69,1063,15.7968646639827
"Running",2020-07-13 19:25:32,2020-07-13 19:33:41,206.100815068459,205.600006103516,206.600006103516,6.19993591308594,5.19993591308594,181.46,489,143.385989517253,87.5,10,1.3359018404908
"Running",2020-07-22 16:41:13,2020-07-22 18:09:09,159.815951811481,150,180.800003051758,336.799942016602,329.799942016602,14536.07,5276,147.613683613684,104,996,9.91847081122062
"Biking",2020-07-24 19:29:15,2020-07-24 20:06:05,108.381209745859,80.2999992370605,138.5,0,0,15112.37,2210,137.332443257677,75,408,24.6174352941176
"Running",2020-07-25 11:21:28,2020-07-25 12:01:10,128.556902439105,119.400001525879,145.800003051758,0,0,5276.31,2382,132.528662420382,89,407,7.97427204030227
"Biking",2020-07-26 15:38:01,2020-07-26 17:30:34,102.776541945885,77.8000030517578,151,608.000068664551,607.200065612793,38642.5,6753,123.152640141991,62,823,20.6001776988005
"Other",2020-07-27 15:31:17,2020-07-27 17:14:42,125.337119845009,104.599998474121,148.399993896484,535.800254821777,534.600242614746,28298.1,6205,146.165808113329,74,1103,16.4179145850121
"Running",2020-07-28 17:11:11,2020-07-28 17:56:50,136.487845724847,126.599998474121,155.600006103516,181.399841308594,178.599838256836,8310.78,2739,153.2096069869,59,581,10.9232595837897
"Biking",2020-07-30 16:55:53,2020-07-30 18:56:06,107.940108036114,79.4000015258789,142.399993896484,611.999855041504,619.399856567383,49411.57,7213,138.363151658768,81,1845,24.6612577291002
"Other",2020-07-31 15:39:47,2020-07-31 17:21:06,115.40236491283,88.8000030517578,141.399993896484,695.39998626709,697.199974060059,32022.84,6079,153.220138203356,77,1148,18.9640111860503
"Other",2020-08-03 16:01:50,2020-08-03 17:33:36,92.6482119986963,65.5999984741211,120.400001525879,570.400047302246,578.000053405762,33614.86,5506,151.850162735276,88,1467,21.9784772974936
"Other",2020-08-04 15:00:59,2020-08-04 16:37:35,91.5664311210174,71.4000015258789,115.400001525879,574.200218200684,573.40022277832,30165.06,5796,163.259252700549,95,1272,18.7360621118012
"Running",2020-08-05 16:16:03,2020-08-05 17:16:51,82.0030072161642,74.8000030517578,99.1999969482422,244.600082397461,245.800079345703,9047.05,3648,143.265445598688,83,621,8.92800986842105
"Other",2020-08-07 16:12:29,2020-08-07 17:56:14,130.745349543916,104,154.800003051758,666.200088500977,664.600082397461,31918.96,6225,151.787100914487,89,1191,18.4591575903614
"Biking",2020-08-08 10:58:36,2020-08-08 15:37:39,122.74047712842,89.8000030517578,180.399993896484,1634.79957580566,1616.39958190918,100654.43,16743,160.074185989147,90,3054,21.6422354416771
"Running",2020-08-10 16:32:39,2020-08-10 17:27:30,131.136768936569,120.400001525879,146.199996948242,194.000175476074,197.60018157959,7903.36,3291,134.545013640497,65,546,8.6454257064722
"Running",2020-08-12 17:32:51,2020-08-12 18:47:03,133.174529819267,119.400001525879,147,187.400093078613,183.400093078613,15039.45,4452,157.686884512086,97,1005,12.1612803234501
"Other",2020-08-13 16:01:27,2020-08-13 17:35:05,82.206325509316,60.4000015258789,104.800003051758,502.599998474121,501.399993896484,28308.04,5618,144.025941719972,77,1052,18.1397194731221
"Biking",2020-08-14 16:47:14,2020-08-14 17:24:13,111.294765201031,85.5999984741211,137,193.200042724609,206.200042724609,15413.39,2219,133.380760626398,55,389,25.0059504281208
"Running",2020-08-14 17:26:15,2020-08-14 17:47:04,100.998402562004,89,116.400001525879,91.8000030517578,91.6000061035156,3254.85,1249,141.88141025641,98,260,9.38147317854283
"Biking",2020-08-14 17:48:01,2020-08-14 18:26:04,102.501705338145,76.5999984741211,127.599998474121,233.200019836426,217.400016784668,15963.77,2283,143.784056066579,103,471,25.1728304862024
"Other",2020-08-15 07:38:25,2020-08-15 08:50:54,139.780998267152,123.400001525879,147.600006103516,22.2000274658203,44.4000244140625,6993.94,4349,109.392204628502,67,522,5.78941917682226
"Other",2020-08-17 16:33:45,2020-08-17 17:27:52,137.2632646675,124,150.600006103516,329.799942016602,328.799942016602,16837.36,3247,153.240086074393,86,720,18.6678460117031
"Biking",2020-08-18 15:40:05,2020-08-18 17:57:27,96.166538154898,72.4000015258789,129.199996948242,819.800018310547,819.000022888184,59012.3,8242,143.268280930008,88,1337,25.7758165493812
"Other",2020-08-19 14:31:12,2020-08-19 16:05:01,133.921227241539,113,156.800003051758,533.40007019043,538.600067138672,28428.32,5629,147.791275048768,80,1081,18.181195949547
"Other",2020-08-20 14:18:58,2020-08-20 16:39:02,117.860568607748,86,159.600006103516,715.199806213379,713.799797058105,39738.86,8404,132.062091114547,67,1244,17.0228338886245
"Biking",2020-08-21 16:21:35,2020-08-21 18:04:36,114.380032300564,84.5999984741211,140.800003051758,637.199996948242,636.599998474121,43847.64,6181,149.769628432956,91,1132,25.5381821711697
"Biking",2020-08-25 15:21:43,2020-08-25 16:32:07,151.176311981706,129.399993896484,173.800003051758,362.200164794922,363.600158691406,28681.64,4224,139.026303317536,74,764,24.4445795454545
"Other",2020-08-26 13:54:46,2020-08-26 15:06:20,135.903929335437,120.800003051758,151.199996948242,397.2001953125,398.2001953125,18341.71,4294,135.487793536387,81,702,15.3773069399162
"Biking",2020-08-27 14:50:47,2020-08-27 16:14:36,114.371638456949,87.5999984741211,141,493.400062561035,498.000068664551,29996.41,5029,120.097914597815,66,640,21.4728725392722
"Other",2020-08-28 15:00:15,2020-08-28 16:45:28,115.997912372985,94.8000030517578,138.800003051758,563.999923706055,562.59992980957,29726.54,6313,136.917918709473,85,1029,16.9516147631871
"Other",2020-08-29 15:51:51,2020-08-29 17:10:49,129.527659824916,124.800003051758,135.199996948242,21.7999420166016,21.7999420166016,4695.18,4738,93.854103343465,44,380,3.56746475306036
"Biking",2020-08-31 14:35:06,2020-08-31 16:03:33,108.122859819184,78.4000015258789,131.399993896484,638.599983215332,645.799987792969,37244.14,5307,147.723047977422,81,1018,25.2645381571509
"Biking",2020-08-31 18:19:07,2020-08-31 18:39:09,128.059782981873,122,135.199996948242,29.3999786376953,29.3999786376953,5836.26,1202,111.233695652174,90,141,17.4796472545757
"Other",2020-09-01 15:33:46,2020-09-01 17:15:26,127.237277040152,100.800003051758,154.600006103516,653.400169372559,656.400169372559,30006.5,6100,146.738504336442,91,1086,17.7087540983607
"Biking",2020-09-02 14:42:35,2020-09-02 17:36:19,102.530580584586,78.1999969482422,134.199996948242,1190.80014038086,1187.20014190674,73559.84,10424,138.363151658768,81,2858,25.4043960092095
"Running",2020-09-03 15:58:48,2020-09-03 17:20:44,124.983438176317,118.599998474121,144.600006103516,272.800102233887,270.400108337402,10424.19,4916,139.70248843867,90,818,7.6336623270952
"Biking",2020-09-07 15:55:03,2020-09-07 16:39:20,136.193987238904,123,149.399993896484,275.999969482422,277.199981689453,17599.58,2657,145.925967681323,110,501,23.8458742943169
"Running",2020-09-07 17:02:57,2020-09-07 18:02:35,133.058521746392,125.599998474121,151,184.599975585938,184.999969482422,6644.97,3578,133.684239888424,71,526,6.68582783678032
